date,title,amount
2025-10-19,53943441jeorge,24.00
2025-10-19,Cantina Csa,42.86
2025-10-19,53943441jeorge,17.10
2025-10-18,Feira de Sant,13.74
2025-10-18,Farmacia Brito - Parcela 1/2,46.51
2025-10-18,Feira de Sant,25.36
2025-10-18,Nosso Pao Delicatess,16.00
2025-10-17,Farmacia Mega Vida,43.96
2025-10-17,53943441jeorge,28.80
2025-10-17,Concret*Progresso Kali,16.51
2025-10-17,Frutimana,22.98
2025-10-17,Kanto do Pao,57.52
2025-10-16,53943441jeorge,14.40
2025-10-16,53943441jeorge,3.90
2025-10-16,Concret*Progresso Kali,18.34
2025-10-16,53943441jeorge,19.00
2025-10-15,Concret*Progresso Kali,36.88
2025-10-15,Pague Menos,79.02
2025-10-15,53943441jeorge,18.80
2025-10-15,Farmacia Brito - Parcela 1/3,43.37
2025-10-15,Concret*Progresso Kali,17.12
2025-10-14,Cantina Csa,44.20
2025-10-14,Concret*Progresso Kali,7.62
2025-10-14,Mp *Padaria,13.00
2025-10-14,Frutimana,1.83
2025-10-13,Carloseduardo,84.00
2025-10-13,53943441jeorge,23.10
2025-10-12,53943441jeorge,21.00
2025-10-12,Com Var de Cosmeticos,35.50
2025-10-12,Casa de Couro Santana,6.60
2025-10-12,Farmacia Mega Vida,23.99
2025-10-12,Cantina Csa,76.52
2025-10-11,Wps*Pizzaria Tio Mozza,81.90
2025-10-11,Concret*Progresso Kali,9.09
2025-10-11,53943441jeorge,9.00
2025-10-11,Concret*Progresso Kali,11.41
2025-10-10,Concret*Progresso Kali,11.54
2025-10-10,Concret*Progresso Kali,18.92
2025-10-10,Nosso Pao Delicatess,25.56
2025-10-10,53943441jeorge,21.80
2025-10-10,Kanto do Pao,38.87
2025-10-09,53943441jeorge,14.90
2025-10-09,Concret*Progresso Kali,20.99
2025-10-08,Kanto do Pao,34.00
2025-10-07,Posto Getulio Vargas,222.25
2025-10-07,Concret*Progresso Kali,8.44
2025-10-06,Kanto do Pao,14.99
2025-10-06,Carloseduardo,152.00
2025-10-05,Concret*Progresso Kali,45.93
2025-10-05,Cantina Csa,15.45
2025-10-04,Economart,1392.37
2025-10-04,Cantina Csa,40.29
2025-10-04,Frutimana,6.07
2025-10-04,Bahia Papelaria,67.64
2025-10-03,Cantina Csa,42.18
2025-10-03,Uber* Trip,10.00
2025-10-03,Feira Letrinha,9.90
2025-10-02,Concret*Progresso Kali,19.89
2025-10-02,Kanto do Pao,62.45
2025-10-01,Padoca,59.28
2025-10-01,Uniao Medica,35.00
2025-10-01,Pague Menos - Parcela 1/3,47.82
2025-10-01,Concret*Progresso Styl,41.57
2025-09-30,Carloseduardo,42.00
2025-09-29,Pagamento recebido,-2498.46
2025-09-29,Cantina Csa,51.57
2025-09-28,Farmacia Brito - Parcela 1/2,60.20
2025-09-28,Cantina Csa,47.15
2025-09-28,Ifd*Ifood Club,5.95
2025-09-27,Carloseduardo,20.00
2025-09-27,Cantina Csa,22.90
2025-09-27,Concret*Progresso Kali,13.52
2025-09-27,53943441jeorge,16.30
2025-09-27,Pague Menos,44.68
2025-09-26,Concret*Progresso Kali,33.78
2025-09-26,53943441jeorge,8.00
2025-09-26,Farmacias da Economia,41.49
2025-09-24,Concret*Progresso Kali,25.84
2025-09-23,Carloseduardo,24.00
2025-09-23,Pague Menos,51.49
2025-09-23,Incardio Especialidad,29.00
2025-09-23,Yutaka Comida Japone,31.90
2025-09-23,Mp *Farmanutri - Parcela 1/3,93.34
2025-09-23,Thais Tigre de Andrade,100.00
2025-09-22,Economart,1484.93
2025-09-22,53943441jeorge,14.40
2025-09-22,53943441jeorge,9.00
2025-09-21,Pagamento recebido,-3880.00
2025-09-21,53943441jeorge,14.80
2025-09-21,Shoppingfeirade,11.00
2025-09-21,Yan Ping Feira,66.56
2025-09-21,Posto Iguatemi,221.80
2025-09-21,Shopping Iguatemi,6.00
2025-09-21,Lojas Americanas,125.93
2025-09-20,B P Dias Comercio de A - Parcela 2/2,73.00
2025-09-20,53943441jeorge,16.90
2025-09-20,Pague Menos - Parcela 2/3,42.66
2025-09-20,Le Biscuit - Parcela 2/3,55.31
2025-09-20,Cea Fei 495 Ecpc - Parcela 2/2,64.99
2025-09-20,Kanto do Pao,60.41
2025-09-20,Carloseduardo,53.90
2025-09-20,Lojas Renner Fl - Parcela 2/3,53.23
2025-09-20,Concret*Brisa Motos e - Parcela 2/2,200.00
2025-09-20,Kairos Delicatessen,23.15
